tracking_id,datetime,windmill_generated_power(kW/h)
WM_19817,2019-04-17 08:53:20,2.411437186976469
WM_18723,2019-03-30 07:43:20,2.809770886789684
WM_34552,2019-08-10 11:33:20,3.2096060818608794
WM_28570,2019-06-26 03:53:20,7.620786988645168
WM_36934,2019-08-27 16:43:20,3.4707932770578322
WM_46,2018-10-29 04:43:20,7.512400866443948
WM_5545,2018-12-16 15:13:20,4.317003816161118
WM_6959,2018-12-27 01:53:20,11.596905316792082
WM_9565,2019-01-14 13:43:20,8.051283266514847
WM_33379,2019-08-02 03:33:20,2.6517884929568916
WM_24358,2019-05-24 04:23:20,5.632940946793735
WM_38536,2019-09-10 00:23:20,7.984292283232438
WM_30740,2019-07-11 20:33:20,7.02217779747467
WM_32731,2019-07-28 12:23:20,5.66002334428107
WM_14062,2019-02-17 14:03:20,8.460014025824874
WM_15294,2019-02-27 03:03:20,10.969762949503457
WM_36014,2019-08-21 06:03:20,5.579189546435689
WM_5050,2018-12-11 01:23:20,12.678001161849357
WM_17819,2019-03-22 11:53:20,2.47639350027829
WM_1759,2018-11-13 16:23:20,3.3614658670964452
WM_27254,2019-06-16 12:13:20,4.677351078209823
WM_14482,2019-02-20 17:53:20,6.982344204986442
WM_40277,2019-09-23 05:03:20,4.090609480592442
WM_23364,2019-05-17 04:43:20,5.498189056221667
WM_35071,2019-08-14 02:53:20,8.694595388077014
WM_1240,2018-11-09 20:43:20,4.639177932650658
WM_193,2018-10-30 05:43:20,8.420103075691683
WM_31417,2019-07-16 15:23:20,7.4543394938733245
WM_37853,2019-09-05 02:13:20,5.622031288736778
WM_34415,2019-08-09 12:13:20,2.7517626969292213
WM_20130,2019-04-22 05:03:20,3.2528453761922047
WM_36985,2019-08-28 01:13:20,3.451288887639192
WM_32816,2019-07-29 02:53:20,7.698832843541868
WM_9659,2019-01-15 06:03:20,9.07848646175114
WM_34192,2019-08-07 22:13:20,5.628719561747675
WM_7124,2018-12-28 06:43:20,8.860220523068168
WM_35945,2019-08-20 18:33:20,5.553393051572329
WM_29448,2019-07-02 12:43:20,3.675046313898624
WM_26129,2019-06-08 07:53:20,3.6205379442543206
