tracking_id,datetime,windmill_generated_power(kW/h)
WM_19817,2019-04-17 08:53:20,2.4220277974558644
WM_18723,2019-03-30 07:43:20,2.5286760793269827
WM_34552,2019-08-10 11:33:20,3.326158597586879
WM_28570,2019-06-26 03:53:20,6.2277677776782845
WM_36934,2019-08-27 16:43:20,3.523552051351052
WM_46,2018-10-29 04:43:20,7.497860504759531
WM_5545,2018-12-16 15:13:20,4.357618409493749
WM_6959,2018-12-27 01:53:20,10.282771568524597
WM_9565,2019-01-14 13:43:20,8.066403296492293
WM_33379,2019-08-02 03:33:20,2.7767765562754905
WM_24358,2019-05-24 04:23:20,5.7191010902667685
WM_38536,2019-09-10 00:23:20,8.108378596061488
WM_30740,2019-07-11 20:33:20,7.132438875942573
WM_32731,2019-07-28 12:23:20,5.329761506773654
WM_14062,2019-02-17 14:03:20,8.317881609771023
WM_15294,2019-02-27 03:03:20,11.198308603266243
WM_36014,2019-08-21 06:03:20,5.598975092364426
WM_5050,2018-12-11 01:23:20,12.449628941835176
WM_17819,2019-03-22 11:53:20,2.6309448834867806
WM_1759,2018-11-13 16:23:20,3.395713695615795
WM_27254,2019-06-16 12:13:20,4.494042552922481
WM_14482,2019-02-20 17:53:20,7.0290482710016695
WM_40277,2019-09-23 05:03:20,4.379789810897224
WM_23364,2019-05-17 04:43:20,5.807555666251144
WM_35071,2019-08-14 02:53:20,8.567120290964812
WM_1240,2018-11-09 20:43:20,4.908615300462962
WM_193,2018-10-30 05:43:20,8.447141652008618
WM_31417,2019-07-16 15:23:20,7.581371451204717
WM_37853,2019-09-05 02:13:20,5.975592237709069
WM_34415,2019-08-09 12:13:20,2.785419052931354
WM_20130,2019-04-22 05:03:20,3.5485377743192927
WM_36985,2019-08-28 01:13:20,3.0707783233896695
WM_32816,2019-07-29 02:53:20,7.494363760098936
WM_9659,2019-01-15 06:03:20,9.245628801428875
WM_34192,2019-08-07 22:13:20,5.627004215428768
WM_7124,2018-12-28 06:43:20,9.07089548943123
WM_35945,2019-08-20 18:33:20,5.504771141079815
WM_29448,2019-07-02 12:43:20,3.995412265168431
WM_26129,2019-06-08 07:53:20,3.749956237740096
WM_3566,2018-11-29 22:53:20,6.78298849318427
WM_1340,2018-11-10 15:23:20,3.0162429846316354
WM_14304,2019-02-19 08:33:20,6.517636908328065
WM_22513,2019-05-11 04:33:20,4.951377578549032
WM_15672,2019-03-01 19:03:20,11.628504056209252
WM_28793,2019-06-27 17:53:20,1.8240967021016536
WM_13683,2019-02-14 16:33:20,7.277116761677807
WM_8450,2019-01-06 15:23:20,8.074881676028808
WM_39606,2019-09-17 19:03:20,7.819588534016182
WM_33792,2019-08-05 01:43:20,8.478881318666012
WM_39434,2019-09-16 14:23:20,2.8874378234598765
WM_16883,2019-03-14 00:13:20,3.0621047486046153
WM_16423,2019-03-08 21:13:20,5.53382101578489
WM_19378,2019-04-07 14:43:20,4.015285735908199
WM_35176,2019-08-14 20:23:20,8.174078921285323
WM_39649,2019-09-18 02:13:20,6.050831179899491
WM_16624,2019-03-11 23:43:20,2.7043893976906612
